ticker,price,volume,change_percent,timestamp,company,sector,exchange
MU,949.83,36704680,4.2292%,1786726863.465795,Micron Technology,Semiconductors,NASDAQ
NVDA,225.3,98867226,0.5400%,1786726877.100868,NVIDIA Corporation,Semiconductors,NASDAQ
MRVL,222.18,19255516,2.3494%,1786726891.339173,Marvell Technology,Semiconductors,NASDAQ
SNDK,1528.11,22094398,13.6741%,1786726904.8853,Sandisk Corporation,Semiconductors,NASDAQ
AMD,483.01,18764893,0.0166%,1786726918.515557,Advanced Micro Devices,Semiconductors,NASDAQ
AVGO,417.82,13180478,0.4254%,1786726932.150212,Broadcom Inc,Semiconductors,NASDAQ
TSM,430.49,8194037,0.3122%,1786726945.782571,Taiwan Semiconductor,Semiconductors,NYSE
QCOM,164.79,7716553,1.0548%,1786726959.252851,Qualcomm Inc,Semiconductors,NASDAQ
MU,940.76,37305990,-7.0166%,1787127479.469088,Micron Technology,Semiconductors,NASDAQ
NVDA,219.74,103128247,-2.3421%,1787127493.173398,NVIDIA Corporation,Semiconductors,NASDAQ
MRVL,216.0,25860730,-7.8223%,1787127508.298792,Marvell Technology,Semiconductors,NASDAQ
SNDK,1625.78,18650674,-9.0142%,1787127522.682795,Sandisk Corporation,Semiconductors,NASDAQ
AMD,484.39,23721548,-4.2708%,1787127536.199498,Advanced Micro Devices,Semiconductors,NASDAQ
AVGO,380.0,22878198,-3.1674%,1787127551.295727,Broadcom Inc,Semiconductors,NASDAQ
TSM,413.41,14030094,-4.0745%,1787127567.19756,Taiwan Semiconductor,Semiconductors,NYSE
QCOM,160.19,11069527,-1.2270%,1787127580.7496908,Qualcomm Inc,Semiconductors,NASDAQ
MU,940.76,37305990,-7.0166%,1787149539.920117,Micron Technology,Semiconductors,NASDAQ
MU,940.76,37305990,-7.0166%,1787150181.4762712,Micron Technology,Semiconductors,NASDAQ
NVDA,219.74,103128247,-2.3421%,1787150202.8634171,NVIDIA Corporation,Semiconductors,NASDAQ
MRVL,216.0,25860730,-7.8223%,1787150219.336813,Marvell Technology,Semiconductors,NASDAQ
SNDK,1625.78,18650674,-9.0142%,1787150233.483232,Sandisk Corporation,Semiconductors,NASDAQ
AMD,484.39,23721548,-4.2708%,1787150249.821075,Advanced Micro Devices,Semiconductors,NASDAQ
AVGO,380.0,22878198,-3.1674%,1787150263.612976,Broadcom Inc,Semiconductors,NASDAQ
TSM,413.41,14030094,-4.0745%,1787150280.484202,Taiwan Semiconductor,Semiconductors,NYSE
QCOM,160.19,11069527,-1.2270%,1787150295.4203022,Qualcomm Inc,Semiconductors,NASDAQ
